tipos,descripcion
ENTJ,"si desear retar , grande pequeño , creer firmemente tiempo recurso suficiente poder conseguir cualquiera meter . cualidad hacer personar comandante convertir empresario brillante , capacidad pensar estratégicamente mantener enfocar largar plazo ejecución cada pasar plan determinación precisión , convertir líder empresario importante . determinación menudo profecía autorrealizada , intentar conseguir objetivo puro forzar voluntad mientras poder darse vencer dedicarse coser , habilidad social hacer restar gente seguir fielmente lograr resultar espectacular procesar . mesar negociación , entornar corporativo comprar coche , dominante implacable . deber personar frío despiadado sí , sino individuo comandante realmente disfrutar desafío , batallar ingeniar , interesante conversación surgir entornar y , si partir continuar , motivar cesar empeñar conseguir objetivar fundamental : victoria final ."
INTJ,"cuestión principio , ponte firmar roca"
ISFJ,"prácticamente suponer proporción tan alto población , casi 13 % . combinar mejor tradición desear hacer bien , soler dedicarse actividad conllevar historia , ejemplo , medicinar , educación trabajo social carácter benéfico . individuo defensor , especialmente alborotador rebelde , soler ser meticuloso perfeccionismo y , pesar posponer coser , siempre confiar realizar trabajar tiempo . responsable siempre ir pasar allá , hacer posible superar expectativa deleitar demás , trabajar casar ."
ENTP,"surgir extraño yuxtaposición innovador , honesto compromiso , discutir incansablemente realidad creer , poniéndose lugar argumentar verdad perspectivo ."
INTJ,"ser natural conocimiento manifiesto temprano edad , menudo recibir título “ ratón biblioteca ” niño . si bien ser vestir insultar partir compañero , probable identificar orgulloso , disfrutar enormemente profundar amplio conocimiento . gustar compartir saber , confiar dominio temer elegir , preferir diseñar ejecutar plan brillante dentro campar lugar compartir opinión distracción “ poco interesante ” cotilleo ."
ISFP,"curioso : ideo bueno bueno , necesitar ver explorar mismo si ideo verdadero . trabajar girar tornar ciencia parecer malo combinación rasgo , visión audazmente artístico humanista menudo exactamente investigación necesitar avanzar , si libertar necesitar hacerlo ."
ISTP,"espontáneo racional : combinar espontaneidad lógico , cambiar mentalidad adaptarse nuevo situación esforzar , haciéndolos individuo flexible versátil ."
ISTP,"realizar especie búsqueda pos visión , simplemente explorar viabilidad nuevo interés hacer cambio tan brusco ."
ISFP,"sensible sentimiento demás valorar armonía . enfrentar crítico , ser desafiar personar alejarse situación tiempo suficiente quedar atrapar tensión momento . vivir momento ir ambos sentir , vez emocionar impetuoso argumentar enfriar , generalmente poder decir “ el pasar , pasar estar ” seguir adelantar si ocurrir ."
INTJ,"deber mentalidad abrir , forzar voluntad , independencia , confianza habilidad planificación arquitecto , capaz hacer cualquiera coser proponer . experto piratear cualquiera coser deparar vida , poder descomponerse aprender casi cualquiera sistema . luego usar ideo encontrar allí necesitar . tender elegir trabajo , diseñador sistema organizador político ."
ISTJ,"responsable : palabra especialista logístico promesa , promesa todo . especialista logístico preferir correr soler día adicional perder soñar entregar resultar decir hacer . lealtad fuerte sentimiento logístico , cumplir deber personar organización comprometer ."
ESTP,"si cuidar , poder quedarse demasiar atrapar situación , llevar coser demasiar lejos tratar despreciar desdén personar sensible , u olvidarse cuidar propio salud seguridad . cuatro ciento población , suficiente mantener coser lleno espíritu competitivo , tanto causar riesgo sistémico ."
ISTP,"privar reservar : notoriamente difícil conocer . verdadero introvertido , guardar asunto personal mismo y , menudo , preferir silenciar pequeño conversación ."
ENFP,"afortunadamente , saber cómo relajarse poder perfectamente pasar ser idealista apasionar lugar trabajar espíritu librar , imaginativo entusiasta pistar bailar , menudo brusquedad sorprender incluso amigo cercano . mezclar dar oportunidad relacionarse emocionalmente demás , dar compresión apreciar motivo amigo colega . creer mundo deber emplear tiempo reconocer expresar sentimiento , empatía sociabilidad hacer temer conversación natural ."
ENTJ,"freír despiadado : obsesión eficiencia creencia inquebrantable mérito racionalismo , especialmente profesionalmente , hacer increíblemente insensible consecución objetivo , descartar circunstancia personal , sensibilidad preferencia irracional irrelevante ."
ESTP,"original : combinar audacia practicidad , encantar experimentar nuevo ideo solucionar . arreglar coser manera nadie pensar ."
ENFP,"saber cómo relajarse : tratar discusión "" naturaleza cosmos "" activista : personar saber que , vez , tan importante simplemente divertirse experimentar alegría vida . rasgar intuitivo permitir saber hora sacudir coser , explosionar salvaje energía entusiasta poder sorprender incluso amigo cercano ."
ENTJ,"“ tu tiempo limitar , asir malgastar vivir vida personar . deje atrapar dogma , vivir pensar deber vivir . deje ruido opinión demás silenciar propio voz interior . importante , tener coraje hacer decir corazón intuición . alguno modo , saber querer llegar ser . demás secundario . ” líder nato . personar poseer don carisma confianza personal , proyectar autoridad lograr mundo búsqueda objetivar común . diferenciar contraparte , sentimental , caracterizar nivel racionalidad menudo despiadado ; utilizar energía , determinación inteligencia lograr cualquiera objetivar marcar conseguir . tal vez mejor tan representar tres ciento población , manera avasallar tipo tímido sensible , conformar mayor partir restar mundo . dar gracia mucho empresa institución ver cada día dar hacer siempre existir ."
ENTJ,"impacientar : personar necesitar tiempo pensar otro , retrasar intolerable pensamiento rápido . poder malinterpretar contemplación estupidez desinterés prisa , terrible error deber cometer líder ."
ENTP,"original : apego tradición , poder descartar sistema método existente reunir ideo disparar amplio basar conocimiento , creatividad crudo mantenerlas junto , formular nuevo ideo audaz . si presentar problema crónico sistémico dar rienda suelto resolverlos , debaters responder alegría descarar ."
INFP,"esplendor , cualidad permitir mediador comunicarse profundamente demás , hablar fácilmente metáfora parábola , comprender crear símbolo compartir ideo . forzar estilar comunicación intuitivo conducir obrar creativo ninguno sorpresa mediador famoso poeta , escritor actor . entenderse mismo cuál lugar mundo importante mediador , explorar ideo mediante proyección mismo trabajar ."
ESTP,"directo : habilidad perceptivo usar juego mental . preferir comunicarse claridad , preguntar respuesta directo objetivo . coser ser ."
ESTP,"hacer escuela entorno altamente organizar desafiar emprendedor . realmente , inteligente poder hacerlo bien , sino enfocar reglamentar lección clase , típico educación formal , alejar aprendizaje práctico disfrutar . necesitar gran madurez ver procesar mediar necesario fin , creer oportunidad interesante ."
ESTP,propenso riesgo : impaciencia llevar ingresar territorio desconocer pensar consecuencia largar plazo . emprendedor vez combatir intencionalmente aburrimiento riesgo adicional .
INFJ,"quemarse fácilmente : pasión , impaciencia mantenimiento rutina , idealismo privacidad extremo tender dejar poco opción desahogarse . probable personar agotar tiempo si encontrar manera equilibrar ideal realidad vida cotidiano ."
ENFP,"pensar exceso : tomar coser pie letra : buscar motivo subyacente incluso coser simple . raro perder soñar preguntándose alguien hacer hacer , poder significar hacer respectar ."
ESTP,"desafiante : encajonar . repetición , reglar duro , sentarse silenciar mientras dar conferenciar : asir vivir vida . orientar acción práctico . entorno escuela trabajar nivel entrar poder ser tan tedioso intolerable , requerir esforzar extraordinario partir empresario mantenerse enfocar tiempo suficiente llegar puesto libre ."
ESFP,"aunque siempre parecer , saber siempre protagonista ; observador sensible emocionar demás . personar menudo primero ayudar alguien confesar problema difícil ofrecer total voluntad apoyar emocional consejo práctico . embargar , si problema ellos , probable evitar conflicto afrontar . generalmente encantar drama pasión , foco crítico poder causar ."
ENTP,"¡ aquí reglar , tratar conseguir algo !"
INFP,mediador talento autoexpresión exteriorizar belleza secreto través metáfora personaje ficción .
INTP,"único coser realmente retener miedo , inquietar generalizar , fracasar . lógico tan propenso volver evaluar propio pensamiento teoría preocuparse perder alguno pieza crítico rompecabezas , poder estancarse perderse mundo intangible pensamiento nunca aplicar realmente . superación falto confianza mayor desafiar enfrentar , conseguir hacerlo ( gracia dote intelectual , grande pequeño , conceder vida ) , hacer luchar merecer penar ."
ENFP,"comunicador excelente : bueno habilidad tan fuerte personar nunca expresar ideo . disfrutar pequeño charlar conversación profundo significativo , do caro mismo monedar ellos , experto dirigir conversación hacia temer desear manera sentir completamente natural forzar ."
INTJ,"definir tendencia pasar vida si tablero ajedrez gigante , pieza cambiar constantemente función consideración inteligencia , siempre evaluar nuevo táctico , estrategia plan contingencia , constantemente dominar astucia colega mantener control situación , mientras maximizar libertar moverse . querer decir actuar concienciar , aversión mostrar actuar función emocionar , hacer parecer manera , explicar villano ficción ( y héroe incomprendido ) modelar conformar personalidad ."
INFJ,"raro representar menos ciento población ; embargar , dejar hollar mundo . innato idealismo moral , diferenciar idealista decisión determinación ; soñador ocioso sino personar capaz tomar medir concreto hacer realidad objetivo impactar formar positivo duradero ."
INTJ,"existir soledad cima y , ser tipo raro estratégicamente capaz , saber bien . abarcar apenar do ciento población , mujer especialmente raro constituir 0,8 % población ; menudo desafiar encontrar personar ideo afinar capaz seguir ritmar intelectualidad implacable maniobrar ajedrez . personar imaginativo decidir , ambicioso reservar , increíblemente curioso , malgastar energía ."
ESFP,hacer sentir tan infeliz darse contar encajonar circunstancia unirse amigo .
ENFP,"extremadamente independiente y , estabilidad seguridad , ansiar creatividad libertar ."
INTJ,"arrogante : poder llevar confianza demasiar lejos . poder creer falsamente solucionar problema asunto , luego llamarlo día , rechazar opinión oponer aquel creer intelectualmente inferior . falto respetar estándar social , poder ser insensible ofrecer opinión si consciente actitud habilidad social menos desarrollar ."
INTJ,"odiar entorno altamente estructurar : odiar seguir ciegamente ... cualquiera coser ... entender qué . disgustar figurar autoridad obligar obedecer ley reglar comprender propósito norma mismo . probable llevar bien cualquiera preferir coser "" siempre ser "" . embargar , cumplir estándar , incluso hacerlo poder ser gran problema , poder hacerles vida difícil necesario ."
ISTP,"especial dificultar predecir emocionar , extensión natural equidad , dar difícil medir emocionar motivación virtuoso . embargar , tendencia explorar relacionar través accionar lugar empatía , conducirlos situación frustrante . personar dificultad límite reglar , preferir libertar moverse salirse norma si necesario ."
ENTJ,"intolerante - "" ser caminar autopista "" - personar comandante notoriamente indiferente cualquiera ideo distraer objetivo principal , aun ideo basar consideración emocional . dudar segundar dejar claro hacer rodear ."
ESTP,"probabilidad llevar estilar vida conducta arriesgar . vivir momento sumergir acción , ojo huracán . personar emprendedor disfrutar drama , pasión placer , impactar emocional sino estimulante mente lógico . ver obligar tomar decisión importante basar inmediato realidad objetivo , procesar respuesta racional rápido estímulo ."
ESFP,"excelente habilidad personar : embargar , coser , artista encantar prestar atención personar . hablador , ingenioso casi nunca quedar coser discutir . personar personalidad , felicidad satisfacción provenir tiempo pasar personar disfrutar estar . sensible : artista ( especialmente turbulento ) emocional vulnerable crítico ; poder sentir ser arrinconar vez reaccionar mal . probablemente mayor debilidad artista , hacer difícil abordar cualquiera debilidad salir luz ."
ISTJ,"integridad personal fundamental ir allá propio mente ; aferrar norma reglar establecer importarles costar , informar propio error decir verdad , incluso consecuencia hacerlo poder ser desastroso . logistas , honestidad importante consideración emocional enfocar contundente hacer demás falso impresión frío incluso robótico . personar poder tener dificultad exteriorizar emocionar afectar , sugerir sentir o , peor aun , personalidad , doloroso ."
ENFP,"estresarse fácilmente : pensamiento excesivo propio beneficiar : activista , especialmente turbulento , sensible preocupar profundamente sentimiento demás . consecuencia popularidad menudo buscar ayudar orientación , llevar tiempo , fácil ver vez sentir abrumar , especialmente poder decir cada solicitud ."
ENFP,poder cambiar mundo ideo
ESTP,"desafiar hacer personar emprendedor usar propio criterio moral personar . reglar crear romperlas . pensamiento poco profesor secundario supervisor corporativo gustar compartir hacer gente emprendedor determinar reputación . si minimizar problema , aprovechar energía lograr concentrarse ignorar coser aburrir , forzar tener contar ."
ISFJ,"bueno habilidad práctico : mejor partir práctico hacer altruismo . si tarea rutinario rutinario , poder ver belleza armonía creer , saber ayudar cuidar amigo , familiar cualquiera necesitar . humilde tímido : manso heredar tierra , largar caminar si recibir ninguno reconocimiento . posiblemente mayor desafiar defensor , tan preocupar sentimiento demás negar dar conocer pensamiento , tomar cualquiera crédito debidamente ganar contribución . estándar mismo tan alto que , saber poder haber hacer mejor alguno aspecto menor tarea , menudo minimizar éxito completar ."
ENFJ,"autoestima fluctuante : protagonista definir autoestima si poder cumplir ideal y , vez , pedir crítico inseguridad confianza , siempre preguntándose poder hacer mejor . si lograr objetivar ayudar alguien decir ayudar , confianza mismo dudar caer picar ."
ENTJ,desarrollar ciencia relacionar humano
ESTP,"impacientar : mover propio ritmar mantenerse entusiasmar . disminuir velocidad alguien "" no entender "" tener concentrarse detallar demasiar tiempo extremadamente difícil emprendedor ."
ISTJ,"voluntario obediente : especialista logístico encarnar integridad accionar también , trabajar durar manteniéndose enfocar objetivo . paciente determinar , personar logístico cumplir obligación , punto ."
ENFJ,"protagonista sincero , bondadoso predicar ejemplo , hacer feliz llevar voz cantante unir motivar equipar entusiasmar contagioso ."
ENFP,perder pequeño “ chispo locura ”
INFP,"práctico : capturar imaginación mediador , poder descuidar cuestionar práctico mantenimiento diario placer simple . vez , personar llevar ascetismo descuidar comer beber mientras perseguir pasión causar ."
ESFP,"“ ser egoísta , impacientar inseguro . cometer error , control y , vez , difícil controlar . si poder tratar peor momento , entonces seguro merecer mejorar momento . ” si alguien espontáneamente comenzar cantar bailar , animador . quedar prendar emoción momento querer demás sentir manera . ninguno tan generoso tiempo energía tratar animar demás , ninguno hacer estilar tan irresistible . estrellar ..."
ESFP,"bien acoger siempre necesidad alegría pasarlo bien , voluntad probar nuevo divertir ; mayor alegría lograr demás pasar bien . poder charlar hora , vez cualquiera coser menos temer querer hablar , compartir emocionar ser querido bueno malo . si capaz mantener asunto orden , siempre disponer experimentar nuevo emocionante coser mundo ofrecer arrastrar conseguir amigo . negrito : artista conocido contenerse . desear experimentar experimentar , personar entertainer importar salir zona confort nadie desear ."
ESFJ,"bueno conectarse otro : cualidad unir hacer social , cómodo popular . gran necesidad "" pertenecer "" ninguno problema pequeño conversación seguir señalar social ayudarlos tomar papel activar comunidad . preocupar social : fortaleza relacionar debilidad principal : preocupación social influenciar , afecto mucho decisión tomar , potencialmente limitar creatividad mentalidad abrir ."
ISTJ,"soler hacer suposición ; preferir , cambiar , analizar entornar , comprobar hecho dar vía acción práctico . hacer coser tomar decisión transmitir hecho necesario lograr objetivar , esperar demás comprender situación inmediato tomar medir . tolerante indecisión , perder paciencia incluso rápidamente si caminar elegir presentar desafiar teoría impracticable , si ignorar detalle clavar ; si desafío convertir debatir requerir tiempo , poder llegar enfadarse formar airar medir acercar plazo ."
ISFJ,deber hacernos visible creer
ENFP,"resultar difícil concentrarse : explorador natural conexionar filosofía interpersonal , contraproducente hacer informar tps encontrar justar frente ellos . difícil mantener interés medir tarea desplazar hacia asunto rutinario , administrativo lejos concepto amplio ."
ESTJ,"juicio : fuerte convicción correcto , incorrecto socialmente aceptable . compulsión crear orden menudo extender todo coser todo , ignorar posibilidad do formar correcto hacer coser . dudar dejar "" desviar "" saber pensar , considerar deber arreglar coser ."
ENFJ,... los dificultad deber desanimarnos seguir apoyar causar considerar justo
ISFP,"vivir encontrar formar impulsar pasión . comportamiento riesgo apuesto deporte extremo común otro . afortunadamente , sintonía momento entornar permitir hacerlo mejor mayoría . disfrutar relacionándose demás poseer cierto irresistible encantar ."
ISTJ,"comercio tipo : igual tipo analista , especialista logístico orgulloso depósito conocimiento , aunque énfasis hecho estadístico concepto principio subyacente . permitir especialista logístico aplicarse variedad situación , recoger aplicar nuevo dato captar detalle situación desafiante natural . terco : hecho hecho , especialista logístico tender resistirse cualquiera ideo nuevo respaldar ellos . procesar tomar decisión objetivo hacer difícil personar logistician aceptar equivocar algo , cualquiera perderse detallar , incluso ellos ."
ENTP,perder oportunidad parecer tarea complicar
ESFJ,"menudo demasiar necesitar : deber escuchar apreciar mucho . si esfuerzo pasar desapercibido , personar poder comenzar buscar elogio , intentar asegurarse cuánto valorar ."
ISTP,"relajar : pesar este , poder mantenerse bastante relajar . vivir momento seguir corriente , negándose preocuparse demasiar futuro . obstinar : tan fácilmente ir flujo , poder ignorarlo completar y , general , moverse dirección poco disculpar sensibilidad . si alguien intentar cambiar hábito , estilar vida ideo través crítico , volverse bastante franco irritación ."
INTP,"encantar patrón detectar discrepancia declaración casi poder considerarse afición ; tanto , malo ideo mentirle lógico . hacer irónico palabra lógico siempre deber cogerse pinzar ; deshonesto sino personar tender compartir pensamiento desarrollar completamente utilizar altavoz ideo teoría debatir mismo compañero real conversación ."
ENFP,"popular amigable : todo adaptabilidad espontaneidad unir formar accesible , interesante emocionante , espíritu cooperativo altruista disposición amigable empático . llevar bien casi todo , círculo amigo extender todo partir . pobre habilidad práctico : tratar concebir ideo comenzar proyecto , especialmente involucrar personar , talento excepcional . desafortunadamente , habilidad mantenimiento , administración seguimiento luchar proyecto . personar práctico ayudar impulsar coser día día , probable ideo seguir ser ese : ideo ."
ISFP,"embargar , si crítico producir , terminar mal . poder controlar crítico decir amabilidad valorarla vestir servir ayudar llevar pasión hacia nuevo direccionar . si comentario mordaz menos maduro , poder perder estribo manera espectacular ."
ESTP,"perderse imagen grande : vivir momento hacer empresario extrañar bosque árbol . personar encantar resolver problema aquí ahora , tal vez demasiar . todo partir proyectar poder ser perfecto , proyectar seguir fallar si partir encajar sí ."
ESTP,"perceptivo : originalidad ver favorecer capacidad darse contar cuándo cambiar coser cuándo necesitar cambiar . pequeño cambio hábito apariencia destacar empresario , utilizar observación ayudar crear conexionar demás ."
INTP,"conocido brillante teoría implacable ; hacer , considerar tipo precisión lógico ."
ESFJ,"vulnerable crítico : ser especialmente desafiante cambiar tendencia reacio conflicto . poder ponerse defensivo lastimarse si alguien , especialmente cercano ellos , criticar hábito , creencia tradición ."
INFJ,"realmente compartir combinación único rasgo : aunque hablar suavidad , opinión sólido luchar descansar ideo creer . decidir carácter fuerte , raro vez usar energía beneficiar propio ; actuar creatividad , imaginación , convicción sensibilidad , sacar ventaja sino crear equilibrio . igualitarismo karma ideo atractivo abogar , soler pensar ayudar mundo usar amor compasión ablandar corazón tirano ."
ISFP,"mayor desafiar enfrentar planificar futuro . encontrar ideal constructivo basar objetivo trabajar meter creer principio positivo tarea fácil . diferenciar tipo personalidad , planificar futuro término activo jubilación . además , planificar accionar conducta contribución identidad construir portafolio experiencia , activo ."
ISTP,"genial crisis : todo creatividad práctico espontaneidad , extrañar natural situación crisis . personar generalmente disfrutar pequeño riesgo físico , miedo ensuciarse mano situación requerir ."
INTJ,“ no derecho opinión . derecho opinión informar . nadie derecho ser ignorante . ”
ESTP,"racional práctico : amar conocimiento filosofía , propio bien . divertir emprendedor encontrar ideo accionable profundizar detalle poder ponerlas práctico . si discusión completamente arbitrario , mejorar uso tiempo emprendedor ."
INTJ,"juicio : pleno confianza proceso pensamiento argumento racional casi definición correcto , menos teoría . práctico , consideración emocional historia influyente . débil personar calificar factor aquel aceptar ilógico . menudo descartar personar pensar manera inferior . hacer casi imposible escuchar ."
ISFJ,"leal trabajador : dar tiempo , entusiasmar convertir lealtad . defensor menudo formar vínculo emocional ideo organización dedicar . cualquiera coser cumplir obligación bueno trabajar durar fallo propio expectativa ."
ISFP,impredecible : gustar compromiso plan largar plazo . tendencia evitar activamente planificación futuro causar tensión relacionar romántico dificultad financiero adelantar vida .
INTP,"aquel querer mover mundo , mover 1"
ENFP,"“ no importar haz ganarte vida . querer saber ansiar , si atrever soñar lograr corazón desear . interesar edad tener . querer saber si disponer correr riesgo quedar tonto , amor , sueño , aventurar vivir . ” activista espíritu verdaderamente librar . menudo alma fiesta , menos interés emoción puro placer momento disfrutar relacionar social emocional demás . encantador , independiente , enérgico compasivo , representar 7 % hacer notar cualquiera muchedumbre ."
ENTP,"enérgico : dar oportunidad combinar rasgo examinar problema interesante , debaters poder ser realmente impresionante entusiasmar energía , tener reparo dedicar largo día noche encontrar solución . argumentativo : si disfrutar debaters , ejercicio mental debatir ideo , sagrado . tipo orientar consenso raro vez apreciar vigor destruir creencia método , generar gran tensión ."
ESTJ,"directo honestar : confiar hecho ideo u opinión abstracto . declaración información directo rey , ejecutivo devolver honestidad ( ya querer no ) ."
INFP,buscar valorar armonía : personar interés tener poder demás importar actitud dominante . preferir enfocar democrático trabajar durar garantizar escuchar cada voz perspectivo .
ESFP,"personar reconocer valor calidad , excelente rasgar personalidad . embargar , combinar tendencia malo planificación , hacer vivir encimar posibilidad ; tarjeta crédito especialmente peligroso . concentrar aprovechar oportunidad según llegar planificar objetivo largar plazo , poder descubrir falto atención hacer cierto actividad resultar inasequible ."
ESFP,"planificador pobre largar plazo : hacer , artista raro vez hacer plan detallar futuro . ellos , coser venir venir , raro vez molestar tomarse tiempo establecer paso consecuencia , creencia poder cambiar cualquiera momento , incluso coser poder planificar ."
INFP,"embargar , diferenciar sociable , mediador centrar atención únicamente personar , solo causar digno ; si dispersar demasiar quedar energía , incluso poder llegar sentirse abatir abrumar malo mundo poder arreglar . aspecto triste amigo mediador , depender visión optimista ."
ISTP,atrévase ser diferente
ESFJ,"altruista tomar seriar responsabilidad ayudar hacer correcto . diferenciar tipo idealista , personar basar brújula moral tradición establecer ley , respetar autoridad reglar lugar apoyar moralidad filosofía misticismo . embargar , importante recordar personar provenir diverso origen perspectivo parecer correcto siempre verdad absoluto ."
INFJ,"decisivo : creatividad , conocimiento inspiración poder tener impactar real mundo . deber poder seguir adelantar ideo convicción , forzar voluntad planificación necesario llevar cabo proyecto complejo final . personar advocate ver cómo deber ser coser ; actuar ideo ."
ISFP,"pesar este , claramente introvertido sorprender amigo aun dejar ser centrar atención ser mismo recargar energía . embargar , hacer solo significar personar sentir hacer nadar ; aprovechar momento introspección , evaluación reevaluación principio . lugar vivir pasar futuro , individuo aventurero dedicar tiempo pensar cuál identidad . regresar claustro , transformar ."
ISTJ,"juicio : opinión opinión hecho hecho , probable especialista logístico respetar personar acordar hecho , especialmente aquel ignorar voluntariamente ."
ENTP,"innovador llevar tiempo mayoría gente controlar capacidad natural : independencia intelectual visión librar tremendamente valioso cargar influir alguien estar , llegar nivel influenciar deber tener capacidad seguimiento resultar difícil personar innovador ."
ISTJ,"insensible : aunque intencionalmente durar , especialista logístico menudo herir sentimiento tipo sensible simple mantra honestidad mejor político . logístico poder tener contar emocionar , realidad respectar determinar formar efectivo decir decir ."
ENTP,"intolerante : menos personar poder respaldar ideo rondar combatir mental , probable debaters descartar ideo sino personar mismo . sugerencia resistir escrutinio racional valer penar molestarse ."
ISTJ,"“ mi observación siempre adecuar cumplimiento deber ... peor ejecutar do personar apenar hacer si emplear tres personar mismo . ” creer habitual , representar alrededor 13 % población . característico definitorio integridad , práctico dedicación incansable deber hacer núcleo vital mucho familia , asir organización defender tradición , norma estándar , oficina abogar , organismo regulador ejército . personar disfrutar tener responsabilidad accionar , enorgullecer trabajar hacer ; trabajar alcanzar meter , escatimar tiempo energía completar cada tarea importancia precisión paciencia ."
ENFP,"curioso : tratar nuevo ideo , interesar ​​en meditar : querer salir experimentar coser , dudar salir zona comodidad hacerlo . imaginativo mente abrir , ver todo coser partir gran misterioso rompecabezas llamar vida ."
ISFJ,"“ el amor crecer compartir . poder conseguir mismo ofreciéndolo demás . ” bastante particular , mucho cualidad desafiar definición característico individual . aunque sensible , poder ser fiero necesario proteger familia amigo ; aunque callar reservar , desarrollar habilidad tratar gente tener relacionar social sólido ; aunque buscar seguridad estabilidad , estan poder ser receptivo cambio siempre sentir comprender respetar . ocurrir tanto coser , personar sumo partir , formar usar punto fuerte definir quién ser ."
ISFJ,"sobrecargarse mismo : fuerte deber perfeccionismo combinar aversión conflicto emocional crear situación demasiar fácil sobrecargarse , ser sobrecargar otro , mientras luchar silenciar satisfacer expectativa todo , especialmente"
ESFP,"hablar , estético fuerte cualquiera personalidad . asear ropa casar bien amueblar , individuo ir siempre moda . saber atractivo mismo momento ver , miedo cambiar entornar reflejar estilar personal . curioso naturaleza explorar nuevo diseño estilo facilidad ."
INFP,"apasionar enérgico : captar imaginación mediador hablar creencia , entrar todo , dedicar tiempo , energía , pensamiento emocionar proyectar . timidez alejar podio , primero ayudar necesario ."
ISFP,"fácilmente estresado : vivir presentar , lleno emoción . situación descontrolar , personar ( especialmente turbulento ) poder cerrar , perder encantar creatividad característico favor rechinar diente ."
ISTP,"decisión surgir sentimiento realismo práctico corazón fuerte justicia directo , actitud “ tratar demás querer ser tratar ” , realmente ayudar explicar rasgo desconcertante virtuoso . lugar ser excesivamente prudente , evitar interferir personar interferir ellos ; personar propenso ir demasiar lejos aceptar asimismo represalia , bueno malo , partir jugar justar ."
ENTJ,"seguro mismo : poder hacer si plagar dudar : confiar habilidad , dar conocer opinión creer capacidad líder ."
ISTP,"“ yo querer vivir vida , vida diferente . querer ir mismo lugar día ver mismo gente hacer mismo trabajar . querer desafío interesante . ” encantar explorar mano ojo , tocar examinar mundo rodear racionalismo freír gran curiosidad . personar creador natural , pasar proyectar construir útil superfluo gustar hacerlo , aprender entornar medir avanzar . menudo mecánico ingeniero , encontrar mayor gozar ensuciarse mano desarmar coser volver armarlas , mejor antes . explorar ideo través creación , solución problema , ensayar error experiencia primero manir . disfrutar personar interesar proyecto vez siquiera importar este meter espaciar suponer , condición personar interferir principio libertar virtuoso , abrir devolver interés ."
INTP,"además , probable entender ninguno manera quejar emocional amigo ir encontrar basar apoyar emocional . personar preferir hacer sugerencia lógico formar resolver cuestión fondo , perspectivo siempre bien recibir compañero sentimental . probable extender mayoría convención objetivo social , planificación cenar boda , preocupar originalidad resultar eficiente ."
ESTJ,"incómodo situación convencional : fuerte adherente tradición y , repente ver obligar probar solucionar desear , sentir incómodo estresados . nuevo ideo sugerir método suficientemente bueno , abandonar siempre funcionar favor aun fallar poner riesgo imagen confiabilidad ."
ISFJ,"reacio cambiar : desafío poder ser particularmente difícil abordar defensor valorar tradición historia decisión . situación vez necesitar llegar ruptura persuadir circunstancia , fuerte ser querer , cambiar rumbo ."
ENTJ,"carismático inspirador : cualidad combinar crear individuo poder inspirar vigorizar otro , personar realmente querer ser líder , vez ayudar lograr objetivo menudo ambicioso nunca poder terminarse solo . obstinar dominante : vez , todo confianza forzar voluntad poder ir demasiar lejos , demasiar capaz cavar talón , tratar ganar cada debatir empujar visión , ellos ."
ISFP,"si objetivo principio noble , poder actuar generosidad abnegación increíble , ocurrir personar aventurero establecer identidad centrar mismo actuar egoísmo , manipulación interés . importante recordar deber actuar convertirse querer ser . desarrollar mantener nuevo hábito suceder formar natural , dedicar tiempo cada día comprender motivación permitir utilizar punto fuerte perseguir querer . encantador : personar relajar cálido , actitud "" vivir dejar vivir "" naturalmente hacer agradable popular ."
INTJ,"deber confundirse impulsividad ; esforzar seguir ser racional , importar atractivo poder ser objetivar final , cada ideo , generar internamente absorber mundo exterior , deber pasar despiadado siempre presentar filtrar “ ¿ este ir funcionar ? ” . mecanismo aplicar momento todo coser todo personar , aquí menudo individuo meter problema ."
ENFJ,"carismático : encantar popularidad cualidad protagonista espadar . instintivamente saber cómo captar audiencia captar ánimo motivación manera permitir comunicarse razón , emoción , pasión , moderación , situación . imitador talentoso , protagonista poder cambiar tono formar reflejar necesidad audiencia , mientras mantener propio voz ."
ESTJ,"excelente organizador : compromiso verdad estándar claro hacer líder confiable capaz . personar problema distribuir tarea responsabilidad manera justo objetivo , convertir excelente administrador . inflexible terco : problema tan obsesionar funcionar descartar demasiar frecuencia poder funcionar mejor . opinión demostrar , ejecutivo reacio confiar opinión tiempo suficiente oportunidad ."
ENTJ,"pensador estratégico : ejemplificar diferenciar gestión crisis momento momento navegación desafío paso plan grande , conocido examinar cada ángulo problema resolver problema momentáneo , sino hacer avanzar proyectar solucionar"
INFJ,"“ cada hombre deber decidir si ir caminar luz altruismo creativo oscuridad egoísmo destructivo . ” resultar fácil establecer relacionar demás talento especial usar lenguaje cálido , sensible , hablar término humano lugar puro hecho . amigo colega ver extrovertido , hacer bien recordar necesitar tiempo mismo fin relajarse recargar energía , alarmarse demasiar repente desaparecer . cuidar esmerar sentimiento demás esperar devolver favor ; vez significar darles espaciar necesitar día ."
ISTP,"disfrutar echar manir compartir experiencia , personar importar , lástima tan poco , representar cincar ciento población . mujer virtuoso común , rolar género típico sociedad esperar encajar ellos ; menudo ver marimacho niño ."
